ACCESSION,PC,TEXT,TEXT_FR,ID,IMAGE,IMAGE_FR,CREDIT,LAT,LONG,ADDRESS,ADDRESS_FR,ARTWORK,ARTWORK_FR,ARTISTS,LOCATION,LOCATION_FR,CITY,PROVINCE,DATE_MOD,MATERIAL,MATERIAL_FR,YEAR
2012-0001,,"A Place to Nest, a Place to Reflect, Have a Seat, by local artist Tim desClouds was commissioned for the Bank Street Glebe district as part of the reconstruction project. Artist and educator Tim desClouds has created an undoubtedly whimsical work of art r","Un endroit où se blottir, un endroit où réfléchir, prenez un siège une œuvre réalisée par l’artiste local Tim desClouds a été élaborée pour la rue Bank du quartier du Glebe, dans le cadre du projet de reconstruction. L’artiste et éducateur, Tim desClouds,",PA126,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_126_A-Place-to-Nest-a-Place-to-Reflect-Have-a-Seat.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_126_A-Place-to-Nest-a-Place-to-Reflect-Have-a-Seat.jpg,,45.399841,-75.686537,Bank St,rue Bank,"A Place to Nest, a Place to Reflect, Have a Seat","A Place to Nest, a Place to Reflect, Have a Seat","desClouds, Tim","Bank Street, South (Highway 417 to Holmwood Avenue)","Bank Street, South (Highway 417 to Holmwood Avenue)",Ottawa,ON,20180322,steel and found objects,acier et objets trouvés,2007
2012-0199,,"Towards Chinatown the series Silk Road Flower Rain exhibits colourful glass forms representing abstracted flowers and raindrops; bamboo for longevity, chrysanthemum for good health, and pomegranate to ward off evil spirits. The deliberate choice of eight","Vers le Quartier chinois, la série Silk Road Flower Rain (Pluie de fleurs sur la route de la soie) présente des formes colorées en verre qui représentent des fleurs et des gouttes de pluie abstraites : le bambou symbolisant la longévité, le chrysanthème s",PA127,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_127_Silk-Road-Flower-Rain.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_127_Silk-Road-Flower-Rain.jpg,,45.409883,-75.706312,Somerset St W,rue Somerset O,Silk Road Flower Rain,Pluie de fleurs sur la route de la soie,"Lafontaine and/et Lotecki, Charlynne  and/et Ryan ",Somerset Street West (Chinatown),Somerset Street West (Chinatown),Ottawa,ON,20180322,aluminum and glass,aluminium et verre,2011
2012-0200,,"The series of sculptures entitled Morphology commissioned for the Hintonburg district are formed as if windblown with glass forms morphing from a seed pod to an open flower, signifying growth and revitalization. The flame-worked glass elements playfully r","La série de sculptures intitulées Morphology (Morphologie), commandées pour le district de Hintonburg, semblent soufflées par le vent et comportent des formes en verre ressemblant à des gousses qui se transforment en fleurs épanouies, illustrant ainsi la",PA128,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_128_Morphology.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_128_Morphology.jpg,,45.40586,-75.72258,Somerset St W,rue Somerset O,Morphology,Morphologie,"Lafontaine and/et Lotecki, Charlynne  and/et Ryan ","Somerset Street West
","Somerset Street West
",Ottawa,ON,20180322,aluminum and glass,aluminium et verre,2011
2012-0201,K1G 5J1,"TRANSPOtting is comprised of 80 LED panels which are embedded in a sound wall. The visual experience of lights cycling different colours, intensities, and patterns through LED panels is cued from input from the OC Transpo bus schedule. As the first bus dr","L'œuvre de commande TRANSPOtting en est une qui s'appuie sur divers médias et comprend 80 panneaux à DEL encastrés dans des murs acoustiques. L'expérience visuelle, où les diodes changent de couleur et d'intensité et tracent sans cesse de nouvelles formes",PA129,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_129_TRANSPOtting.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_129_TRANSPOtting.jpg,,45.408927,-75.634927,745 Industrial Ave,"745, av Industrial",TRANSPOtting,TRANSPOtting,,"745 Industrial Avenue, OC Transpo Bus Garage","745 Industrial Avenue, OC Transpo Bus Garage",Ottawa,ON,20180322,LED panels and software,panneaux DEL et logiciels,2008
1990-0030,K1V 6A5,"An 18 foot long curved mural is situated on the third floor of this centre. Predominantly abstract, the work evokes a number of familiar scenes and objects in a colourful and playful manner.","Situé au 3e étage du Centre, la grande peinture acrylique sur toile peut presque être qualifiée d’abstraite mais évoque néanmoins divers scènes et objets familiers d’une manière vive et colorée",PA13,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_13_Home-is-Where-the-Heart-Is.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_13_Home-is-Where-the-Heart-Is.jpg,,45.379463,-75.654049,1480 Heron Rd,"1480, ch Heron",Home is Where the Heart Is,Home is Where the Heart Is,"Durr, Pat","1480 Heron Road, Heron Road Community Centre","1480 Heron Road, Heron Road Community Centre",Ottawa,ON,20180322,acrylic on cotton duck canvas on cassiform,,1990
2013-0001,K4A 0X3,Water introduces the force of nature to the built environment of the François Dupuis Recreation Centre through a visual exploration of water’s many moods and manifestations.  The artwork amplifies the experience of being at the pool and our relationship w,"Eau fait entrer la force de la nature au centre récréatif François-Dupuis en explorant les différentes expressions et dispositions caractéristiques de l’eau. Cette œuvre, tout en soulignant les activités et les objectifs du centre aquatique, enrichit notr",PA130,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_130_Water.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_130_Water.jpg,,45.457771,-75.466009,2263 Portobello Blvd,"2263, boul Portobello",Water,Eau,"Stead, Jennifer","2263 Portobello Boulevard, François Dupuis Pool","2263 Portobello Boulevard, François Dupuis Pool",Ottawa,ON,20180322,aluminum,aluminium,2011
2013-0066,,"Falling Star was commissioned by the City of Ottawa for Half Moon Bay Park in Barrhaven South.  The 13-foot high cast aluminum sculpture sits atop the toboggan hill at Cambrian and Greenbank roads, balanced on one of its five points. As if fallen from the","La sculpture Étoile filante a fait l’objet d’une commande de la Ville d’Ottawa pour le parc Half Moon Bay à Barrhaven Sud. Se présentant sous la forme d’une sculpture en aluminium coulé d’une hauteur de 4 m (13 pi), l’étoile se dresse en haut de la collin",PA131,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_131_Falling-Star.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_131_Falling-Star.jpg,Image courtesy Dugan Maynard / Image : gracieusetÃƒÂƒâÃ¯Â¿Â½ de Dugan Maynard,45.252462,-75.737779,2757 Grand Vista Circle,"2757, Grand Vista",Falling Star,Étoile filante,"Maynard, Don","2757 Grand Vista Circle, Half Moon Bay, Cambrian and Greenbank","2757 Grand Vista Circle, Half Moon Bay, Cambrian and Greenbank",Ottawa,ON,20180322,"aluminum, acrylic and LED","aluminium, acrylique et LED",2011
2013-0067,,"This sculpture by artist Michael Kinghorn engages with the word “overhaul” in two ways. A term frequently used by firefighters, overhaul refers to the stripping of walls and floors in order to search for trapped heat. Similarly, the layers of this sculptu","Cette sculpture de l’artiste Michael Kinghorn évoque deux significations du mot anglais overhaul. Terme fréquemment utilisé par les pompiers, overhaul décrit l’enlèvement de murs et de planchers pour trouver de la chaleur emprisonnée. Dans le même ordre d",PA132,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_132_Overhaul.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_132_Overhaul.jpg,,45.281583,-75.909978,34 Iber Rd,"34, ch Iber",Overhaul,Overhaul,"Kinghorn, Michael","34 Iber Rd, Stittsville, Fire Station 46","34 Iber Rd, Stittsville, Fire Station 46",Ottawa,ON,20180322,"steel, brass, aluminum and rubber","acier, laiton, aluminium et caoutchouc",2012
2013-0068,,"This sculpture by artist Michael Kinghorn reminds us of the dangerous conditions regularly faced by rescue workers.   The open corner exposes a jumble of weathered gears, tilling blades, horseshoes and wagon wheels. The deteriorating structure is secured","Cette sculpture de l’artiste Michael Kinghorn nous rappelle les conditions dangereuses que doivent souvent affronter les membres d’équipes de secours. Le coin dégagé montre un amas d’engrenages, de lames de labourage, de fers à cheval et de roues de chari",PA133,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_133_Collapse.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_133_Collapse.jpg,,45.253397,-75.736022,3559 Greenbank Rd,"3559, ch Greenbank",Collapse,Collapse,"Kinghorn, Michael","3559 Greenbank Road, Barrhaven South, Fire Station 47","3559 Greenbank Road, Barrhaven South, Fire Station 47",Ottawa,ON,20180322,"steel, stainless steel and copper","acier, acier inoxydable et cuivre",2012
2013-0069,,"Chase, is a sculptural installation in bronze, mapping the trail of a red fox chasing a ball. Chase captures the animal in gestural movements as though stopped in motion, offering the viewer a sustained gaze of something that usually unfolds too fast for","La Chasse est une sculpture de bronze représentant le parcours d’un renard roux poursuivant une balle. La Chasse reproduit la gestuelle de l’animal interrompu dans son mouvement, offrant à l’observateur une vue soutenue sur une action habituellement trop",PA134,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_134_Chase.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_134_Chase.jpg,,45.340496,-75.930498,4101 Innovation Dr,"4101, prom Innovation",Chase,La chasse,Erin Robertson and Anna Williams  ,"4101 Innovation Drive, Richcraft Recreation Complex (commissions)","4101 Innovation Drive, Richcraft Recreation Complex (commissions)",Ottawa,ON,20180322,bronze and stainless steel,bronze et acier inoxydable,2011
1991-0004,K1T 3P8,"It is my hope that this piece will have the effect of recalling the memories of being in a greenhouse or conservatory. The work is a reminder of growing and thriving plants, of hanging vines and trellises overhead, of the warmth of a summer day. It is a m","J’espère que cette œuvre éveillera des souvenirs de serre ou de conservatoire. Elle évoque des plantes florissantes, grimpantes et des treillis en surplomb par une chaude journée d’été. Il s’agit d’une représentation métaphorique de la vie organique.",PA14,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_14_Trellisworks.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_14_Trellisworks.jpg,,45.363903,-75.634656,363 Lorry Greenberg Dr,"363, prom Lorry Greenberg",Trellisworks,Trellisworks,"Brown, Barbara","363 Lorry Greenberg Drive, Greenboro Community Centre","363 Lorry Greenberg Drive, Greenboro Community Centre",Ottawa,ON,20180322,aluminum and wood,aluminium et bois,1991
1991-0008,K1N 6V6,"Shutters is one work  in a series of leaded glass designs based on deteriorating shutters in various stages of repair. Shutters resemble a set of Venetian blinds, whose glass strips change colour providing different perspectives on the surrounding visual","Shutters fait partie d'une série d'objets en verre au plomb, inspirés de la détérioration de volets, à divers stades de réparation. Shutters rappelle un ensemble de stores vénitiens, dont les parties en verre changent de couleur, donnant des perspectives",PA15,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_15_Shutters.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_15_Shutters.jpg,,45.422992,-75.677901,250 Somerset St E,"250, rue Somerset E",Shutters,Shutters,"Brathwaite, Stephen","250 Somerset Street East, Sandy Hill Community Centre","250 Somerset Street East, Sandy Hill Community Centre",Ottawa,ON,20180322,"bevelled and mouthblown glass, lead, heat coloured steel","verre biseauté et verre soufflé, plomb,
acier coloré par la chaleur",1991
1991-0040,K1V 6P9,"The aluminum base of the sculpture’s pyramid is 16 feet on its longest side and 6 feet on its shortest side. The top is a small glass pyramid about 4 feet high, reaching 18 feet high in the air. This is the mountain and its summit of ice.","La base en aluminium de la sculpture fait 16 pieds sur 6 pieds. La cime de la pyramide de verre, d’environ 4 pieds de haut, atteint une hauteur totale de 18 pieds. Tout comme une montagne et son sommet de glace.",PA16,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_16_Glacier.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_16_Glacier.jpg,,45.37225,-75.658971,1265 Walkley Rd,"1265, ch Walkley",Glacier,Glacier,"Vigneau, Jean-Yves","1265 Walkley Road, Jim Durrell Arena","1265 Walkley Road, Jim Durrell Arena",Ottawa,ON,20180322,aluminum and Plexiglas,aluminium et Plexiglas,1991
1991-0043,,,,PA17,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_17_Harvest.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_17_Harvest.jpg,,45.401706,-75.729756,366 Parkdale Ave,"366, av Parkdale",Harvest,Harvest,"Ciesluk, Karl","366 Parkdale Avenue, Parkdale Park","366 Parkdale Avenue, Parkdale Park",Ottawa,ON,20180322,"wood, metal, Plexiglas and concrete","bois, métal, Plexiglas et béton",1991
1992-0003,K1R 6E5,"This project was installed in order to promote and celebrate some of the diverse activities that occur in this vital community park and centre. The nets, and the coloured ball images in the brick represent different games and sports played by many differe",Ce projet a été mis sur pied dans le but de promouvoir et de célébrer quelques-unes des différentes activités qui ont lieu dans ce parc et centre communautaire de grande importance. Les filets et les images de balles colorées dans la brique représentent d,PA18,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_18_Indicator-O3.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_18_Indicator-O3.jpg,,45.409278,-75.701565,180 Percy St,"180, rue Percy",Indicator 03,Indicator 03,"Robinson, David","180 Percy Street, McNabb Community Centre","180 Percy Street, McNabb Community Centre",Ottawa,ON,20180322,"polychromed steel, wood","acier polychromé, bois",1992
1992-0004,K1H 6K1,,,PA19,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_19_Billings-Bridge.jpg,,,45.389782,-75.672045,2100 Cabot St,"2100, rue Cabot",Billings Bridge ,Billings Bridge ,"Gill, Richard","2100 Cabot Street, Billings Estate Museum","2100 Cabot Street, Billings Estate Museum",Ottawa,ON,20180322,clay,argile,1992
1978-0001,K1N 9C3,"The Hungarian-born artist who created this whimsical, lively and humorous paper-mâché cloud for the ByWard Market Building was turning away from abstract art in the few years before his early death in 1980, towards what he called “a deliberate involvement","C’est un artiste d’origine hongroise qui a réalisé le nuage en papier mâché à la fois fantaisiste et amusant qui orne l’édifice du marché By. Dans les années qui avaient précédé sa mort prématurée, survenue en 1980, Tolgesy avait décidé de se détourner de",PA2,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_2_McClintocks_Dream.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_2_McClintocks_Dream.jpg,,45.427613,-75.692613,55 ByWard Market Building ,"55, Marché By",McClintock's Dream,McClintock's Dream,"Tolgesy, Victor",55 ByWard Market Building ,55 ByWard Market Building ,Ottawa,ON,20180322,"papier maché, acrylic","papier maché, acrylique",1978
1992-0012,,,,PA20,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_20_Strathconas-Folly.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_20_Strathconas-Folly.jpg,,45.426752,-75.672726,25 Range Rd,"25, ch Range",Strathcona's Folly,Strathcona's Folly,"Brathwaite, Stephen","25 Range Road, Strathcona Park","25 Range Road, Strathcona Park",Ottawa,ON,20180322,"concrete, stone, bronze and wood","béton, pierre, bronze et bois",1992
1993-0001,K1N 1B7,,,PA21,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_21_untitled.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_21_untitled.jpg,,45.429947,-75.691032,145 Clarence St,"145, rue Clarence",Untitled  ,Untitled  ,"Slota, Marian","145 Clarence, Clarence/Murray Street Parking Garage","145 Clarence, Clarence/Murray Street Parking Garage",Ottawa,ON,20180322,paint on concrete,peinture sur béton,1992
1993-0002,K1N 1B7,"The Murray Street parking garage is home to 14 bronze alley cats by local sculptor Jean-Yves Vigneau. These alley cats will infiltrate your creative imaginings. One squints down at you from its perch, another arches its back and three kittens play in the","Le garage de stationnement de la rue Murray abrite les 14 chats de gouttière en bronze de Jean-Yves Vigneau, sculpteur de la région. Ces chats de gouttière s’infiltreront dans votre imaginaire. L’un vous toise du regard du haut de son perchoir, l’autre fa",PA22,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_22_Alley-Cats.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_22_Alley-Cats.jpg,,45.429947,-75.691032,145 Clarence St,"145, rue Clarence",Alley Cats,Les chats de gouttieres,"Vigneau, Jean-Yves","145 Clarence, Clarence/Murray Street Parking Garage","145 Clarence, Clarence/Murray Street Parking Garage",Ottawa,ON,20180322,bronze,bronze,1993
1993-0003,K1N 6E2,,,PA23,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_23_Grand-monochrome-rouge-et-detail.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_23_Grand-monochrome-rouge-et-detail.jpg,,45.425644,-75.68899,2 Daly Ave,"2, av Daly",Grand monochrome rouge et detail,Grand monochrome rouge et detail,"Berlanga, Miguel","2 Daly Avenue, Arts Court","2 Daly Avenue, Arts Court",Ottawa,ON,20180322,corten steel ,acier de corten,1993
1994-0001,K1N 1J1,"Using natural materials such as clay, wood and leather, Jim Thomson created a series of ""Forest benches"". The benches represent the four Ottawa seasons, bringing the outside natural world to the inside. Ceramic rocks with glazed and sculpted leaves, moss,","Tirant parti de matériaux naturels tels que l'argile, le bois et le cuir, Jim Thomson a créé toute une série de « Bancs sylvestres ». Ces bancs illustrent les quatre saisons à Ottawa, et recréent, dans I'enceinte même de l'hôtel de ville, le milieu nature",PA24,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_24_untitled-benches.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_24_untitled-benches.jpg,,45.439069,-75.696107,,,Untitled benches,sans titre bancs,"Thomson, Jim",,,Ottawa,ON,20180322,"clay, wood and leather","argile, bois et cuir",1994
1994-0003,K2G 4R7,This desk and chair was commissioned to integrate with the existing design of the Ottawa City Hall Council Chambers as part of renovations to the previous Ottawa City Hall at 111 Sussex Drive. Details in the chair and desk such as mother of pearl diamonds,"La commande du pupitre et de la chaise visait à ce que le mobilier s'intègre dans la conception de la salle du Conseil municipal d'Ottawa dans le cadre des rénovations effectuées à l'ancien hôtel de ville au 111, promenade Sussex. Les détails dans le pupi",PA25,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_25_untitled-Mayors-desk-and-chair.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_25_untitled-Mayors-desk-and-chair.jpg,,45.340672,-75.761316,100 Tallwood Dr,"100, prom Tallwood",Untitled: Mayor's desk  and Chair,Sans titre: pupitre et chaise du maire,"Kerr, Randy","100 Tallwood Drive, Central Archives  ","100 Tallwood Drive, Central Archives  ",Ottawa,ON,20180322,"wood, leather, mother of pearl","bois, cuir, de nacre",1993
1994-0005,K1N 1J1,"Widgery’s three-part outdoor sculpture of cast bronze and aluminum offers a whimsical look at the relationship between nature and the human order of things. A polar bear atop a pyramid of star constellations, a man inside a rocket ship-like cone and a tre","Cette oeuvre de Widgery, une sculpture extérieure en bronze coulé et en aluminium composée de trois segments, jette un regard fantaisiste sur la relation entre la nature et l’ordre des choses imposé par l’homme. Un ours polaire au sommet d’une pyramide de",PA26,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_26_Objective-Memory.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_26_Objective-Memory.jpg,,45.439069,-75.696107,111 Sussex Dr,"111, prom Sussex",Objective Memory,Objective Memory,"Widgery, Catherine",111 Sussex Drive,111 Sussex Dr,Ottawa,ON,20180322,cast bronze and aluminium ,fonte en bronze et aluminium,1993
1994-0006,K1N 1J1,Vox Populi or Voice of the People is a voice animated light sculpture. Directional microphones placed at the entrance doors pick up voices and sounds; the sound is then transformed by a micro-computer into light patterns that emanate from the central open,"Vox Populi est une sculpture lumineuse commandée à Ia voix. Des microphones directionnels, placés aux portes d'entrée, recueillent les voix et les bruits, qui sont ensuite transformés en diagrammes de lumière commandés par ordinateur. Émanant de Ia niche",PA27,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_27_Vox-Populi.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_27_Vox-Populi.jpg,,45.439069,-75.696107,111 Sussex Dr,"111, prom Sussex",Vox Populi,Vox Populi,"Geuer, Juan",111 Sussex Drive,111 Sussex Dr,Ottawa,ON,20180322,mixed media,technique mixte,1994
1994-0007,K1N 1J1,"The series of twelve sails are made of several layers of knotted nylon and dyed in various shades of yellow, orange, red and blue. Overlapping one another, the sails create new colours; the contrasting colours of the ropes outline their size and triangula","Cette serie de douze voiles est faite de plusieurs épaisseurs de nylon noué, teint en divers tons de jaune, d'orange, de rouge et de bleu. En se chevauchant, elles créent de toutes nouvelles teintes, tandis que les couleurs contrastantes des cordages font",PA28,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_28_Je-veux-la-lune.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_28_Je-veux-la-lune.jpg,,45.439069,-75.696107,111 Sussex Dr,"111, prom Sussex",Je veux la lune,Je veux la lune,"Beauchemin, Micheline",111 Sussex Drive,111 Sussex Dr,Ottawa,ON,20180322,"nylon filament, rope, dye","fil de nylon, corde et teinture",1994
1994-0008,K1K 4P5,,,PA29,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_29_Switch-Hitter.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_29_Switch-Hitter.jpg,,45.421254,-75.653829,300 Coventry Rd,"300, ch Coventry",Switch Hitter,Switch Hitter,"Yuristy, Russell","300 Coventry Road, RCGT Park","300 Coventry Road, RCGT Park",Ottawa,ON,20180322,"aluminum, concrete, acrylic","aluminium, beton, acrylique",1994
1986-0083,K1Z 8M7,,,PA3,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_3_Interactions_Bleues.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_3_Interactions_Bleues.jpg,,45.373096,-75.739452,1520 Caldwell Ave,"1520, av Caldwell",Interactions Bleues,Interactions Bleues,"Hardy, Pierre","1520 Caldwell Avenue, Carlington Rec Centre, Bellevue Gym","1520 Caldwell Avenue, Carlington Rec Centre, Bellevue Gym",Ottawa,ON,20180322,acrylic on concrete,acrylique sur ciment,1986
1994-0009,,"Justin Wonnacott was commissioned to create artworks for Rideau Street. He chose ""shelter, its loss and replacement"" as a theme for his work. The large granite disc, “From a Camper’s Diary”, uses a surveyor's words in a spiral around images of flames and","La Ville a demandé à Justin Wonnacott de créer des œuvres pour la rue Rideau. Le thème qu’il a choisi est celui de « l’abri, sa perte et son remplacement ». Le grand disque de granit, « From a Camper’s Diary », est gravé aux mots d’un arpenteur qui se dér",PA30,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_30_Shelter-Its-Loss-and-Replacement.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_30_Shelter-Its-Loss-and-Replacement.jpg,,45.42805,-75.68754,,,Shelter - Its Loss and Replacement,Shelter - Its Loss and Replacement,"Wonnacott, Justin",,,Ottawa,ON,20180322,inkjet print,épreuve à jet d'encre ,1994
2001-0399,,,,PA300,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_300_RiverInvitation.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_300_RiverInvitation.jpg,,45.401185,-75.666747,OC Transitway Smyth Station,Station Smyth,River's Invitation,River's Invitation,"Sharpe, Blair",OC Transitway Smyth Station,OC Transitway Smyth Station,Ottawa,ON,20180322,stonhard flooring paint system,revêtement pour plancher stonhard,1991
2013-0073,,"Silver Line is a three part installation consisting of a pair of binoculars, a cloud fabricated in aluminum and stainless steel, and a poised bronze female gure. The three sculptural components come into alignment when viewed through the binoculars. The cloud appears to float at the figure’s fingertips, enveloped by the steam released from the building ventilation chimneys. Silver Line draws inspiration from the patterned choreography of ‘Cloud Hands’, a t’ai chi movement which incorporates a rolling, sweeping motion of the arms and hands in a graceful gesture. The artwork is suggestive of weather phenomena, and makes reference to the human connection to nature that is expressed through recreational activity. ","Ligne argentée est une installation en trois parties composée de jumelles, d’un nuage en aluminium et en acier inoxydable et d’un bronze représentant le corps d’une femme en équilibre. Vues à travers les jumelles, les trois composantes sculpturales s’alignent. Le nuage semble otter au bout des doigts de la femme, enveloppés par la vapeur qui s’échappe des cheminées de ventilation du bâtiment. L’oeuvre intitulée Ligne argentée s’inspire de la chorégraphie structurée du mouvement de taï chi « mouvoir les mains comme les nuages », geste gracieux de balayage par ondulation des bras et des mains. Elle évoque un phénomène météorologique et renvoie au lien entre l’humain et la nature qui s’exprime au moyen d’une activité de loisir.",PA301,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_301_SilverLine.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_301_SilverLine.jpg,,45.340496,-75.930498,4101 Innovation Dr,"4101, prom Innovation",Silver Line,Ligne argentée,"Lasserre, Maskull","4101 Innovation Drive, Richcraft Recreation Complex (commissions)","4101 Innovation Drive, Richcraft Recreation Complex (commissions)",Ottawa,ON,20180322,"stainless steel, aluminum, bronze and prefabricated components","acier inoxydable, aluminium, bronze et éléments préfabriqués",2011
2013-0081,,"This sculptural installation was inspired by skiffs - long, slender boats with hulls so elongated that rowers balance themselves as though on a high wire. They speed forward so fast they barely touch the surface of the water. The long oars seem to walk on the water like the legs of a strange insect. Suspended above our heads in the lobby of the recreation complex, the two sculptures move across the space, evoking thoughts of water bugs and ying shes.

The artist was born on a small island and spent his childhood by the sea. The maritime landscape and culture forged his view of the world and continue to serve as the inspiration for his artistic practice.

Skiff was produced in collaboration with Forge ornementale Lapointe.","Cette oeuvre est inspirée des skiffs, embarcations aux coques effilées sur lesquelles les rameurs se tiennent en équilibre comme sur un fil tendu. Ils se déplacent ainsi à toute allure, effleurant à peine la surface de l'eau. Les longues rames semblent marcher sur l'eau comme les pattes d'un étrange insecte. Suspendues au dessus de nos têtes dans le hall d'entrée du complexe récréatif, les deux sculptures en forme de skiffs traversent l'espace et font penser à punaises d’eau ou à des poissons volants. 

L'artiste est né sur une petite île et a vécu son enfance au bord de la mer. Le paysage et la culture maritimes ont forgé son regard sur le monde et continuent d'agir comme toile de fond de sa pratique artistique. 

Skiff a été réalisé en collaboration avec la Forge ornementale Lapointe.",PA302,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_302_Skiff.jpg,http://ottawaxyz.ottawa.ca/wp-content/uploads/2014/03/Public_Art_302_Skiff.jpg,,45.340496,-75.930498,4101 Innovation Dr,"4101, prom Innovation",Skiff,Skiff,"Vigneau, Jean-Yves","4101 Innovation Drive, Richcraft Recreation Complex (commissions)","4101 Innovation Drive, Richcraft Recreation Complex (commissions)",Ottawa,ON,20180322,aluminum,aluminium,2011
